"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 28 13:40:31 GMT 2022","Wed Sep 28 13:40:42 GMT 2022","11291","","Check CompanyMenuItem functionallity","","Check CompanyMenuItem functionallity","TC17 - Check ability to submit ""Beta Tester"" form with invalid email","TC17 - Check ability to submit ""Beta Tester"" form with invalid email",""
"passed","Wed Sep 28 13:40:42 GMT 2022","Wed Sep 28 13:40:49 GMT 2022","6812","","Check CompanyMenuItem functionallity","","Check CompanyMenuItem functionallity","TC18 - Check redirection to telnyx marketplace page from the ""Integrations"" page","TC18 - Check redirection to telnyx marketplace page from the ""Integrations"" page",""
"passed","Wed Sep 28 13:41:24 GMT 2022","Wed Sep 28 13:41:28 GMT 2022","4195","","Check search in support center","","Check search in support center","TC9 - Should check searching in support center telnyx","TC9 - Should check searching in support center telnyx",""
"passed","Wed Sep 28 13:41:02 GMT 2022","Wed Sep 28 13:41:08 GMT 2022","6097","","Check links on homepage","","Check links on homepage","TC13 - Check redirection to the ""Twitter"" site from footer","TC13 - Check redirection to the ""Twitter"" site from footer",""
"passed","Wed Sep 28 13:40:59 GMT 2022","Wed Sep 28 13:41:02 GMT 2022","3115","","Check links on homepage","","Check links on homepage","TC12 - Check redirection to Cookie Policy information from footer","TC12 - Check redirection to Cookie Policy information from footer",""
"passed","Wed Sep 28 13:41:20 GMT 2022","Wed Sep 28 13:41:26 GMT 2022","6357","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC16 - Should check ability to filter news by content on the ""Blog"" page","TC16 - Should check ability to filter news by content on the ""Blog"" page",""
"broken","Wed Sep 28 13:41:26 GMT 2022","Wed Sep 28 13:41:31 GMT 2022","5169","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC19 - Should check ability to filter Developer docs by category","TC19 - Should check ability to filter Developer docs by category",""
"passed","Wed Sep 28 13:41:55 GMT 2022","Wed Sep 28 13:42:00 GMT 2022","4583","","Check sign up","","Check sign up","TC2 - Should check redirection to the ""Sign Up"" page after clicking ""Try for free"" button with valid email","TC2 - Should check redirection to the ""Sign Up"" page after clicking ""Try for free"" button with valid email",""
"passed","Wed Sep 28 13:41:12 GMT 2022","Wed Sep 28 13:41:20 GMT 2022","7709","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC15 - Should check searching for news on the ""Blog"" page","TC15 - Should check searching for news on the ""Blog"" page",""
"passed","Wed Sep 28 13:41:36 GMT 2022","Wed Sep 28 13:41:45 GMT 2022","8749","","Check sign in","","Check sign in","TC5 - Should check ability to Log In with not exist credentials after redirection from home page header","TC5 - Should check ability to Log In with not exist credentials after redirection from home page header",""
"passed","Wed Sep 28 13:40:31 GMT 2022","Wed Sep 28 13:40:41 GMT 2022","10235","","Check ability to change country on wireless pricing page","","Check ability to change country on wireless pricing page","TC14 - Should check ability to change country on wireless pricing page","TC14 - Should check ability to change country on wireless pricing page",""
"passed","Wed Sep 28 13:42:02 GMT 2022","Wed Sep 28 13:42:08 GMT 2022","5811","","Check sign up","","Check sign up","TC4 - Should check ability to read Privacy Policy information before Sign Up","TC4 - Should check ability to read Privacy Policy information before Sign Up",""
"passed","Wed Sep 28 13:40:47 GMT 2022","Wed Sep 28 13:40:56 GMT 2022","9334","","Check links on homepage","","Check links on homepage","TC10 - Should test functionality of HomePage button in header","TC10 - Should test functionality of HomePage button in header",""
"passed","Wed Sep 28 13:42:00 GMT 2022","Wed Sep 28 13:42:02 GMT 2022","2707","","Check sign up","","Check sign up","TC3 - Should check ability to open sign up page after clicking ""Try for free"" with invalid email","TC3 - Should check ability to open sign up page after clicking ""Try for free"" with invalid email",""
"passed","Wed Sep 28 13:40:56 GMT 2022","Wed Sep 28 13:40:59 GMT 2022","2898","","Check links on homepage","","Check links on homepage","TC11 - Check ability to activate the ""Call"" dialog from header of Homepage","TC11 - Check ability to activate the ""Call"" dialog from header of Homepage",""
"passed","Wed Sep 28 13:41:45 GMT 2022","Wed Sep 28 13:42:00 GMT 2022","15014","","Check sign in","","Check sign in","TC6 - Should check ability to Single Sign-on with not exist credentials after redirection from home page header","TC6 - Should check ability to Single Sign-on with not exist credentials after redirection from home page header",""
"passed","Wed Sep 28 13:41:31 GMT 2022","Wed Sep 28 13:41:36 GMT 2022","5258","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC20 - Should check ability to choose version of API Docs on ""Developers"" page","TC20 - Should check ability to choose version of API Docs on ""Developers"" page",""
"passed","Wed Sep 28 13:40:57 GMT 2022","Wed Sep 28 13:41:05 GMT 2022","7644","","Check join waitlist","","Check join waitlist","TC7 - Should check ability to join waitlist for Telnyx storage after redirection from home page","TC7 - Should check ability to join waitlist for Telnyx storage after redirection from home page",""
"passed","Wed Sep 28 13:41:47 GMT 2022","Wed Sep 28 13:41:55 GMT 2022","7774","","Check sign up","","Check sign up","TC1 - Should check ability to sign up without agree terms of conditions and privacy policy","TC1 - Should check ability to sign up without agree terms of conditions and privacy policy",""
"passed","Wed Sep 28 13:41:17 GMT 2022","Wed Sep 28 13:41:24 GMT 2022","6164","","Check search in support center","","Check search in support center","TC8 - Should check search topics in main page of support center telnyx","TC8 - Should check search topics in main page of support center telnyx",""
